id,type,title,latitude,longitude,address,description,phone,website
100,Community,"Immigration & Citizenship, Australian Government Department of",-34.9246468,138.5974936,"State Office: 3rd Floor, 55 Currie St, Adelaide, South Australia","Information dissemination - information regarding requirements for migration, citizenship, temporary entry, resident status, sponsorship and resident return visas
Citizenship - the department is responsible for granting Australian citizenship
Immigration, residency and temporary entry - including extensions of stay to temporary residents, entry of migrants and overseas students and compliance functions as these relate to laws of entry and residence
Funds English language education on arrival through the Adult Migrant English Program (AMEP)
Funding allocations - including Settlement Grants Program and Humanitarian Settlement Service (HSS), Diversity & Social Cohesion Program and Multicultural Arts & Festival funding
<a href=""?q=intref/CISADOC1/506"">Translating & Interpreting Service</a>",13 1881,www.citizenship.gov.au
101,Community,Patronato Epasa Inc.,-34.9318185,138.5933516,"State Office: 176 Wright St, Adelaide, South Australia","Pensions, benefits, allowances - provides assistance in obtaining Italian pensions and with social security matters
Support group for pensioners
Tax Help - July to October
Translation of Italian documents",,
102,Community,Istituto Nazionale Assistenza Sociale,-34.930764,138.5959157,"Manhattan Bldg, 9 Field St, Adelaide, South Australia","Pensions, benefits, allowances - provides assistance in obtaining pensions from Australia, Italy and some other countries
Welfare services - assistance with taxation, workers compensation and social security matters",,
103,Community,Migrant Resource Centre of SA Inc.,-34.92368,138.599203,"59 King William St, Adelaide, South Australia","Settlement assistance for newly arrived migrants and refugees - including short term torture and trauma counselling, immigration and employment advice
Coglin Street Community Centre - meeting rooms and small hall for educational, recreational and cultural activities
Commmunity Cultural Development Program for migrant and refugee artists and arts workers
Information and referral
Cultural competence training
Meeting/activity space
Men's Talk - supporting men of refugee background
Newly Arrived Youth Support Service (NAYSS) - for young peopleÂ aged 12-21, provided with Anglicare SA Inc.
Refugee women's program and forums
Support for refugee families at risk - Family Relationships Counselling and Education Service and Supporting Refugee Families program
Volunteer program - volunteer recruitment and training to support volunteers working in all program areas
Youth program for young people under 25",08 8217 9500,www.mrcsa.com.au
104,Community,Multicultural SA,-34.9269709,138.6013249,"24 Flinders St, Adelaide, South Australia","Interpreting and translating services - <a href=""?q=intref/CISADOC1/2163"">Interpreting & Translating Centre</a>
Contributes to improving equitable access to government services for people of culturally and linguistically diverse backgrounds
Fosters a coordinated approach to multicultural affairs across government
Promotes the benefits of cultural diversity and fosters community harmony
Informs and consults with ethnic community organisations and promotes cooperation among groups involved in multicultural affairs
Supports ethnic community festivals and events
Administers funding grants - Multicultural Grants Scheme
Supports and recommends special initiatives such as those for multicultural youth, women and the aged
Supports the development of community volunteers
Multicultural Life magazine
Convenes SA Multicultural Forum and Regional Advisory Committees
Provides information for students and teachers on multicultural issues",8226 1944,www.multicultural.sa.gov.au
105,Community,Australian Flying Corps & Royal Australian Air Force Association (SA Division) Inc.,-34.9174773,138.6022731,"Torrens Parade Ground, Victoria Dr, Adelaide, ","Counselling
Friendly visiting and hospital visiting
Recreation - club rooms available for social functions and use by members
Welfare & Pension Advocates",8227 0980,www.raafasa.org.au
106,Community,Legacy Club of Adelaide Inc.,-34.926624,138.59523,"102-104 Franklin St, Adelaide, South Australia","Personal contact and support
Assistance with housing maintenance and other problems
Financial assistance including grants and loans
Referral to community and legal services
Assistance with claims and appeals for war widows pensions
Education assistance and youth activities
Tax Help July - Oct",,www.legacy.com.au
107,Community,Returned & Services League of Australia (SA Branch) Inc.,-34.9174773,138.6022731,"ANZAC House, Torrens Training Depot, Victoria Dr, Adelaide, South Australia","Advocacy
Friendly visiting and hospital visiting
Legal services information - help to obtain legal advice
Pensions and benefits - Pensions Officer provides information and advice
Independent living units for the aged - located in Campbelltown and Clovelly Park and in the country in Wallaroo
Welfare assistance - Ex-Service Welfare Bureau provides pension advocacy and welfare support including limited emergency financial support to veterans in certain circumstances",8232 0322,www.rslsa.org.au
108,Community,Tubercular Soldiers Aid Society of SA Inc.,-34.9298242,138.5939878,"261 Morphett St, Adelaide, South Australia","Friendly visiting
Support services for veterans",,
109,Community,"Veterans Affairs, Australian Government Department of",-34.9240493,138.6085188,"199 Grenfell St, Adelaide, South Australia","Commemorative activities - raising public awareness by commemorating significant events and anniversaries, promoting community understanding of the role of Australian ex-service men and women, supporting reunions and coordinating pilgrimages
Community development programs
Counselling and emergency counselling services available through <a href=""?q=intref/CISADOC1/544"">Vietnam Veterans Counselling Service</a>, 1800 011 046
Financial aid for education of eligible veterans' children - Veterans' Children Education Scheme
Grant programs for community development, health promotion and commemoration
Health services - including hospital, pharmaceutical, dental, optical, physiotherapy, nursing, podiatry, palliative care, hearing, convalescence and transport services
Home loans and building/contents insurance available through the <a href=""?q=intref/CISADOC1/318"">Defence Service Homes</a> Scheme, 1800 722 000
Pensions and benefits - including bereavement, disability, service and war widows/widowers pensions
Provision of aids and appliances for daily living through Rehabilitation Appliances Program
Veterans' Home Care - includes in home and residential respite care, home and garden maintenance, domestic assistance and personal care, 1300 550 450 (for assessment only)
Home Maintenance - property maintenance advice and referral, 1800 80 1945
Homefront - falls prevention program, 1800 80 1945 (for assessment only)
Veterans Vocational Rehabilitation Scheme - helps eligible veterans, with or without a disability, who need special assistance to obtain or hold suitable paid employment
Military Compensation & Rehabilitation Service - for members and former members of the Australian Defence Force (ADF) who have suffered injury or illness as a result of their ADF duties",13 3254,www.dva.gov.au
110,Community,Vietnam Veterans Association of Australia SA Inc.,-34.9174773,138.6022731,"Torrens Parade Ground, Victoria Dr, Adelaide, South Australia","Counselling
Education programs for schools throughout the state
Information and referral
Pensions and benefits - assists veterans with claims
Recreation - barbecues held weekly at Walkerville RSL
Support services for veterans and their families",8232 9422,www.vvaa-sa.asn.au
111,Community,Veterans & Veterans Families Counselling Service,-34.924728,138.607741,"99 Frome St, Adelaide, South Australia","Counselling - individual, couple and family
After hours telephone crisis counselling - Veterans Line
Group programs for veterans, partners, couples and children of Vietnam veterans - including stress and anger management, alcohol treatment, Post Traumatic Stress Disorder (PTSD) support, partners support groups, health education, communication skills, lifestyle management, groups for sons and daughters, retirement planning
Information and referral",,www.dva.gov.au/health/vvcs
112,Community,Spark Resource Centre Inc.,-34.9305753,138.5913577,"213 Gouger St, Adelaide, South Australia","Counselling - including parenting, relationships, domestic violence
Education and personal development courses
Emergency relief and financial assistance (when available)
Resource library
Second hand clothing",8212 3255,www.sparkresourcecentre.org.au
113,Community,Service to Youth Council Inc.,-34.9241167,138.6016941,"Level 6, East Wing, 50 Grenfell St, Adelaide, South Australia","HYPA - support and assistance for young people to access and maintain safe and appropriate accommodation, to reconnect with family, school, employment and the community and to address offending behaviours
<a href=""?q=intref/CISADOC1/2116"">Job Prospects</a> - helps jobseekers to gain and sustain employment, and employers to recruit and maintain their workforce
Training Prospects - a Registered Training Organisation delivering training solutions for employers, the labour market, apprentices and trainees",08 8231 6676,www.syc.net.au
114,Community,Australian Red Cross (SA Division),-34.9283304,138.608641,"207-217 Wakefield St, Adelaide, South Australia","Emergency and disaster response - includes training programs for major disaster response, provision of limited financial assistance for individuals and families in minor disasters, participation in relief of international disasters and organisation of public appeals for emergency relief
Good Start Breakfast Club - trained volunteers assist nutritionally at risk school students with the preparation of a nutritious and healthy breakfast and educate students on the importance of a healthy diet
Retail stores - new and secondhand goods and furniture in metropolitan and country locations
Red Cross Baby Seats - safety equipment for hire and sale, including baby capsules, strollers, prams
Youth programs - promotes the health and wellbeing of young people through education and support on issues such as alcohol and other drug use and mental health
Tracing and Refugee Services - assists and reunites families separated by war, political disturbance and disasters
Telecross Service - daily phone call from Red Cross for frail aged and disabled people living alone
Red Cross College - delivering accredited and non accredited courses and qualifications in VET, first aid and professional development short courses at 83 Currie St, Adelaide 5000, 8293 9200
Telecross REDi service supports people by regularly calling them during heatwaves and other extreme weather events
Transport - trained volunteers provide transport and assistance with medical appointments and activities. Transport assistance in country areas provided by South East Community Passenger Network and Eyre Peninsula Community Transport Network
Volunteer program - volunteers assist in all service areas",08 8100 4500,www.redcross.org.au/sa
115,Community,"Health & Ageing, Australian Government Department of",-34.926173,138.598856,"Level 13,, 11-29 Waymouth St, Adelaide, South Australia","1. AGED & COMMUNITY CARE - funding for services and accommodation for older people including residential aged care facilities and community-based care services
Aged care assessment teams
Carer support services
Community Aged Care Packages - care services for people in their own homes
Community Visitors Scheme - an initiative to reduce loneliness and isolation for residents of aged care facilities
Home & Community Care (HACC) - a program funding support services that provide frail aged people (65 years and over; indigenous people 50 years and over) and their carers with basic assistance to remain living independently
Residential and community respite care
Aged Care Complaints Investigation Scheme - assistance with complaints about Commonwealth funded aged care services
Advocacy services
Assistance with Care & Housing for the Aged (ACHA) - provision of funds to community organisations to assist financially disadvantaged older people who are living in insecure accommodation
National Respite for Carers Program (NRCP) 
2. HEALTH PROGRAMS - funding for programs aimed at improving the health of all Australians, including primary health care, prevention and promotion and chronic disease management
Divisions of General Practice and primary care programs
Rural health programs
Population health programs",8237 8111,www.health.gov.au
116,Community,SA Health,-34.92348,138.60501,"CitiCentre Bldg, 11 Hindmarsh Sq, Adelaide, South Australia","Public hospital services
Metropolitan health services
<a href=""?q=intref/CISADOC1/2539"">Women's & Children's Health Network</a>
Community health services - metropolitan and country
Environmental health, communicable diseases, epidemiology, health education
<a href=""?q=intref/CISADOC1/88"">Health Promotion Branch</a>
Institute of Medical & Veterinary Science
<a href=""?q=intref/CISADOC1/1217"">BreastScreen SA</a>
<a href=""?q=intref/CISADOC1/1594"">South Australian Organ Donation Agency</a>
Cancer Registry
<a href=""?q=intref/CISADOC1/1287"">Mental Health Services</a>
<a href=""?q=intref/CISADOC1/2276"">Domiciliary Care SA</a>, <a href=!doc!CISADOC1!!816>Country Domiciliary Care Services</a> and rehabilitation services",08 8226 6000,www.sahealth.sa.gov.au
117,Community,South Australian Dental Service,-34.9266436,138.6074518,"180 Flinders St, Adelaide, South Australia","<a href=""?q=intref/CISADOC1/2770"">Adelaide Dental Hospital</a>
<a href=""?q=intref/CISADOC1/2771"">Community Dental Service</a>
<a href=""?q=intref/CISADOC1/2772"">School Dental Service</a>",08 8222 8222,www.sadental.sa.gov.au
118,Community,Aboriginal Sobriety Group Inc.,-34.92815510000001,138.6079659,"182-190 Wakefield St, Adelaide, South Australia","Crisis intervention - Mobile Assistance Patrol transports people under the influence of alcohol or other substances from public places to places of safety and support
Assessment, referral and counselling
Stabilisation services - accommodation for men at Cyril Lindsay House; accommodation for women at Annie Koolmatrie House
Health and fitness centre and Boxing Club
Residential rehabilitation at Lakalinjeri Tumbetin Waal, Monarto - 12 week live in programs to enable recovery from alcohol or other substance misuse
Outreach services in northern metropolitan area and Riverland",08 8223 4204,www.aboriginalsobrietygroup.org.au
119,Community,Al-Anon Family Groups,-34.9234045,138.5975162,"Harmer House, 5 Leigh St, Adelaide, South Australia",Support group for families and friends of people with alcohol problems,08 8231 2959,www.alanon.cjb.net
120,Community,Alcoholics Anonymous,-34.922656,138.601988,"Central Service Office, 120, 38 Gawler Place, Adelaide, South Australia","Public education and awareness
Support group for people with alcohol problems",08 8227 0046,www.aa-sa.org
121,Community,Uniting Communities New ROADS,-34.889152,138.638251,"16 Pitt St, Adelaide, South Australia","Aboriginal Liaison services
Comprehensive screening assessment and referral
Counselling
Rehabilitation treatment and services program
Outreach support",08 8202 5690,www.unitingcommunities.org
122,Community,Child & Youth Health,-34.935085,138.610066,"295 South Tce, Adelaide, South Australia","Parent Helpline - provides telephone information and support on child health, parenting, development or behaviour concerns. For parents of children and young people 0-12 years, 24 hours, 7 days per week, tel. 1300 364 100
Child and Family Health Centres - over 120 centres state-wide offering free health checks for children 0-5 years, information on child health and development and parenting support. Offices can be located on the website or by calling 1300 733 606 to make an appointment
Universal Home Visiting Program - all families are offered a home visit by a trained child health nurse following the birth of a baby. They are given practical support on issues like breastfeeding, crying and sleeping
Aboriginal health services - Aboriginal Cultural Consultants in each region to support Aboriginal and Islander children and families in gaining access to Child Health services
Access Assistants Program - support for children with severe physical disabilities and/or complex health needs to attend school or pre-school
Early Intervention Network - support and advocacy for families of children aged 0-6 with special needs
Family and Baby Program - a supervised intensive postnatal service for parents who are experiencing problems with infant feeding, sleep and other difficulties with babies under 12 months. Offers locally based services through many Day Service sites throughout the state. More intensive support is available through Torrens House residential unit. Referral to this service follows a Day Service appointment. Referral required from a child health nurse, GP, Children, Youth & Family Services or hospital
Hearing Assessment Centre - assessment of, and information about, hearing and ear health for children and young people 0-12 years
Parenting information and guidance - including information on parenting and health issues available from web site and <a href=""?q=intref/CISADOC1/2139"">Parenting SA</a> Parent Easy Guides
Parenting groups - child development and health issues are explored in groups that inform new parents, assist them to gain support and establish networks
<a href=""/org/214465-Friends_of_Child_%2526_Family_Health_Inc._%28closed%29"">Friends of Child &amp; Family Health Inc. (closed)</a> - groups of parents and caregivers offering support, friendship and parenting information. Approximately 80 branches are located in metropolitan and country areas
Volunteer program - trained volunteers assist with a range of programs and services, tel. 8161 6437",1300 733 606,www.cyh.com
123,Community,Nunkuwarrin Yunti of SA Inc. - Health Services,-34.92815510000001,138.6079659,"182-190 Wakefield St, Adelaide, South Australia","Antenatal and postnatal care
Child health care
Counselling
Diabetes education
Harm minimisation program - including clean needle program (NUHIT) and methadone support and referral
Healthy Liver Program - improving health outcomes of people with Hepatitis C, Hepatitis B, HIV, alcohol-related liver disease and other problems
HIV/AIDS care and information
Immunisation - available at all clinics
Medical care - general practitioner
No Pulgi Mobile Health Team - outreach for homeless people
Podiatry
Psychiatry
Substitution Options & Support (SOS) - help for people who are on a maintenance drug program including family support, information, education, transport
Towilla  Purruttiappendi (Healing the Spirit) - counselling and social work program
Women's health program - including cervical screening, colposcopy referral, contraception advice",8310 3333 (a.h.),www.nunku.org.au
124,Community,Barkuma Inc.,-34.9242885,138.5885078,"Level 1, 260 Currie St, Adelaide, ","Assessment, advocacy and case management services to support clients
Accommodation support - <a href=""?q=intref/CISADOC1/2621"">Barkuma Community Support</a>
Open employment - <a href=""?q=intref/CISADOC1/2619"">Personnel Employment</a>
Supported employment - <a href=""?q=intref/CISADOC1/2620"">Barkuma Industries</a>
Training for people with a disability and support staff - Disability Training Australia",8414 7100,www.barkuma.com.au
125,Community,Citizen Advocacy SA Inc.,-34.932835,138.597322,"Unit 1, 76 Sturt St, Adelaide, South Australia","Recruitment of advocates
Matching of people with intellectual disability with an advocate
Information and support",08 8410 6644,www.citizenadvocacysa.com.au
126,Community,Early Childhood Intervention Australia Inc. - SA Chapter,-34.9304469,138.5935198,"Gouger St, Adelaide, South Australia","Advocacy - early intervention programs
Information and support",8345 5019,www.ecia.org.au
127,Community,Independent Advocacy SA Inc.,-34.924728,138.607741,"99 Frome St, Adelaide, South Australia","Information, advice and referral - speaks, acts and writes on behalf of vulnerable individuals to protect their interests",,
128,Community,Camp Quality SA,-34.9304175,138.5907522,"216 Gouger St, Adelaide, South Australia","Recreational and educational programs for children living with cancer
Public education and awareness",08 8410 5555,www.campquality.org.au
129,Community,Cystic Fibrosis SA Inc.,-34.9334124,138.5933215,"143-145 Sturt St, Adelaide, South Australia","Advocacy and counselling for people with cystic fibrosis
Respite & Social activities
Financial support
Education and employment support
Sibs support
Fundraising
Public education and awareness",08 8221 5595,www.cysticfibrosis.org.au/sa
130,Community,Guide Dogs SA.NT,-34.9296073,138.5938911,"251 Morphett St, Adelaide, South Australia","Guide Dogs training and support
Orientation and Mobility Services for people who are blind or vision impaired
Neurological Vision Services, including rehabilitation and specialist advice for people who have experienced stroke
Hearing Services, including information, education, communication skills training and hearing advisory services
Sensory Directions, providing complex case management for people who are deaf, hearing impaired, blind, vision impaired and deaf-blind
Consultancy education and support to family, community and government about vision and hearing loss
Adopt a puppy program - guide dog puppies are adopted by families with whom they live for up to 14 months and who are responsible for introducing the puppy to different environments and situations",08 8203 8333,www.guidedogs.org.au
131,Community,Heart Foundation - SA,-34.9306635,138.612006,"155 Hutt St, Adelaide, South Australia","Heart disease prevention - community education
Health Information Service - telephone service providing heart health information and resources to the community and health professionals
Heart health programs - Heart Foundation Walking, Heartmoves, Healthy Eating
Heart and blood vessel disease research",1300 362 787,www.heartfoundation.org.au
132,Community,PolioSA,-34.9340166,138.6078115,"195 Gilles St, Adelaide, South Australia","Clinical support
Health information
Hydrotherapy
Massage
Support group",,
133,Community,Royal Society for the Blind,-34.9252415,138.6082468,"Knapman House, 230 Pirie St, Adelaide, South Australia","RSB Guide Dog Service - enables a person who is blind or severely vision impaired to travel independently and confidently
Adaptive Technology Centre - enables people to view, access, trial and train on the latest equipment
Counselling - a team of counsellors assist clients to accept and adjust to vision loss. Also available for families
Advocacy on behalf of clients so that vision loss is not an obstacle to obtaining services
Employment Services - specialist assistance for people with vision impairment, on-the-job support in open employment, and supported employment
Low Vision Centre - assessment, training, occupational therapy, information and referral
Orientation and mobility - instructors assist people to travel independently by teaching strategies to increase confidence and safety
Print Alternative Services - audio, braille, e-text and large print, library services (including digital)
Recreation and Leisure Services - enable participation in activities or involvement in community based leisure groups
Volunteers - roles include looking after an RSB Guide Dog puppy, friendly visiting, helping with shopping, driving clients to appointments or helping with fundraising projects
Community Support Groups - for people living with a vision impairment, these include home support, independent living skills training, counselling and recreation
Digital Library Service - free access for people who are blind or vision impaired to a wide range of accessible books and magazines
Child and Youth Services - assist children aged 0-18 years in their physical and psychological development",08 8417 5599,www.rsb.org.au
134,Community,"Podiatry Clinic, UniSA",-34.9234841,138.5915119,"University of South Australia, North Tce, Adelaide, South Australia","Podiatry
Biomechanical evaluation and treatment
Insole and orthosis manufacture
Surgical clinic
Children's clinic
Diabetes screening and education",08 8302 2269,www.unisa.edu.au/hls/clinics/podtry.asp
135,Community,Royal Adelaide Hospital,-34.921025,138.608667,"North Tce, Adelaide, South Australia","Emergency medical care/casualty
Medical and surgical care
Specialist services
Aboriginal Health Team - assists and supports Aboriginal and Torres Strait Islander patients
Allied health services - occupational therapy, physiotherapy, social work, speech pathology
Cancer Centre - treatment and research
Health Promotion Unit provides health information in the main entrance foyer, Mon - Fri 10am - 4pm, tel. 8224 5193
Infectious Diseases Clinical Service - assessment and treatment for people with infections including viral hepatitis, HIV/AIDS, bacterial and tropical infections
Overseas medical retrieval unit
Pastoral care - chaplaincy services
Stomal therapy support
Volunteer program - Lavender Lads and Ladies
Women's health centre
Working Health - health promotion and training for organisations and businesses in the community",08 8222 4000,www.rah.sa.gov.au
136,Community,STD Services,-34.921302,138.608161,"275 North Tce, Adelaide, South Australia","Prevention, treatment and control of sexually transmitted infections including HIV/AIDS - maintains a contact tracing service
Advisory service on modern methods of investigation and treatment for practitioners and health care personnel in remote areas
Professional education - workshops and training on HIV/AIDS and sexually transmitted infections for health professionals
Harm minimisation program - including clean needle program",8222 5075,www.stdservices.on.net
137,Community,CRS Australia,-34.924313,138.607643,"Level 1, 165 Grenfell St, Adelaide, South Australia","Vocational guidance and counselling
Job placement
Job search assistance
Job training - on-the-job training and/or short courses
Return to work plans
Physical conditioning assessment program 
Ergonomic assessments
Youth employment program for students identified by their school as requiring additional support to find suitable employment",8402 4233,www.crsaustralia.gov.au
138,Community,Country Domiciliary Care Services,-34.9228309,138.6025614,"PO Box 287, Rundle Mall, Adelaide, South Australia","The following list indicates the major services available. Some centres do not provide all these services; others provide additional services
Dementia - day care, home help, respite care
Health aids and equipment provision
Friendly visiting
Home paramedical care
Home support - household duties
Home support for families caring for children and adults with developmental, physical or intellectual disabilities
Occupational therapy
Personal care for adults with disabilities
Physiotherapy
Podiatry
Respite care
Social work services",,
139,Community,Aboriginal Legal Rights Movement Inc.,-34.9317165,138.5998249,"321-325 King William St, Adelaide, South Australia","Legal advice and counselling
Legal representation - civil, criminal, family and human rights matters
Community legal education - including provision of speakers to community groups
Financial counselling
Information, referral and representation on corporate matters including native title, land agreements, incorporation and enterprise activities
Low Income Support Program - counselling, budgeting, financial advice for Aboriginal people facing financial hardship
Aboriginal Justice Advocacy Committee (AJAC) - monitors state government compliance with recommendations of Royal Commission into Aboriginal Deaths in Custody
APY Lands Restorative Justice
Support for Aboriginal people in custody across South Australia - <a href=""?q=intref/CISADOC1/459"">Aboriginal Visitors Scheme</a>
Tax Help July - Oct",08 8113 3777,www.alrm.org.au
140,Community,Youth Court of SA,-34.9317803,138.5974107,"75 Wright St, Adelaide, South Australia","Dispensation of justice and resolution of disputes involving young people
Family care meetings - to address care and protection concerns in relation to children
Family conferences - to divert matters concerning minor offences away from the court system",08 8204 0331,www.courts.sa.gov.au
141,Community,Magistrates Court of SA,-34.9298124,138.5989612,"Adelaide Magistrates Court, 260-280 Victoria Sq, Adelaide, South Australia","Dispensation of justice and resolution of disputes
Collection and enforcement of all monetary orders of the Courts including fines, costs, levies, fees, orders for compensation and breach of bail/bond orders, overdue expiation fees
Pre-lodgement system of debt collection allows for individuals or organisations to issue a final notice of claim prior to issuing a formal claim
Mediation services - for resolution of disputes or claims to avoid going to court
Aboriginal Court Day (Nunga Court) for Aboriginal people who plead guilty to an offence - at Ceduna, Murray Bridge, Port Adelaide and Port Augusta
Court Diversion Program - for people who have committed certain offences and who have impaired intellectual or mental functioning as a result of mental illness; intellectual disability; personality disorder; acquired brain injury or neurological disorder including dementia
Domestic Violence Court - deals with family violence matters including criminal matters and restraining orders. Referrals may be made to the <a href=""?q=intref/CISADOC1/2086"">Central Violence Intervention Program</a>
Drug Court - combines intensive judicial supervision, mandatory drug testing, escalating sanctions, and treatment and support services to help drug-abuse offenders break the cycle of drug abuse and crime
Court Assessment and Referral Drug Scheme - provides an opportunity for defendants who use drugs to receive access to drug treatment as part of the court process
Duty solicitor service - provided most days at the major Magistrates courts by the Legal Services Commission of SA
Videoconference facilities - provide access to court services for people in regional, rural and remote locations",08 8204 2444,www.courts.sa.gov.au
142,Community,Community Corrections - Department for Correctional Services,-34.9336,138.600603,"Administration: 400 King William St, Adelaide, South Australia","Corrections - probation, parole, home detention and community service orders
Counselling - including support and assistance for offenders and their immediate families with accommodation, employment or other problems",08 8226 9000,www.corrections.sa.gov.au
143,Community,Court Volunteer Service,,,"Administration: Level 3, Adelaide Magistrates Court, 260-280 Victoria Sq, Adelaide, South Australia","Information and referral - covering all matters relating to the justice system
Refreshments - tea, coffee and biscuits available for a nominal cost
Support for people who are confused, distressed or anxious about going to court",08 8204 0720,www.courts.sa.gov.au
144,Community,"Family Court of Australia, Adelaide Registry",-34.930257,138.600919,"Ground Floor, Roma Mitchell Commonwealth Law Courts, 3 Angas St, Adelaide, South Australia","Family law - including divorce, residence of and contact with children, property division, maintenance and injunctions covering family disputes
Duty Lawyer - provided by the Legal Services Commission of SA - provides brief advice to people involved in Family Court proceedings
Justice of the Peace",1300 352 000,www.familycourt.gov.au
145,Community,Law Society of SA,-34.9259172,138.594974,"124 Waymouth St, Adelaide, South Australia","Legal advisory service - 20 minute interview with a solicitor regarding basic questions on any legal problem
Legal referral service - maintains a register of solicitors including specialist areas of practice and a register of solicitors who will provide a first interview at a reduced cost
Litigation Assistance Fund - assistance with prosecution of civil cases, where clients are unable to pay legal expenses.  Available to companies and individuals, subject to means and merits test
Professional services, resources, support and benefits to members and the legal profession
Community education concerning the law and the legal profession",08 8229 0222,www.lawsocietysa.asn.au
146,Community,Legal Services Commission of SA,-34.92829529999999,138.6040958,"82-98 Wakefield St, Adelaide, South Australia","Free legal advice - civil, criminal and family law matters, including Legal Help Line, specialist advice in domestic violence, Centrelink and migration matters and at prisons by appointment
Legal representation - civil, criminal and family matters
Child Support Unit - assistance for all child support and maintenance issues, tel. 8463 3576
Family dispute resolution - mediated solutions to family law problems
Community legal education - publications, information sessions, training courses and online resources
Duty solicitor service - for most registries of the Magistrates and Youth Courts every weekday. Duty solicitors can assist people who are appearing in court on a criminal charge and are unrepresented. Duty lawyers are also available at the Family Law Courts to provide advice and assistance to self represented litigants who are involved in or about to start court proceedings
Law Handbook Online - a practical guide to the law in South Australia, www.lawhandbook.sa.gov.au
Outreach legal advice service to country centres - including Murray Bridge and other country centres
Videoconference facilities to enable contact with the courts, prisons and lawyers for people in regional areas
Outreach family lawyer located at Aboriginal Legal Rights Movement",08 8463 3555,www.lsc.sa.gov.au
147,Community,South Australia Police,-34.9298777,138.604497,"Headquarters: 100 Angas St, Adelaide, South Australia","Crime prevention and law enforcement - civil and criminal
BankSA Crimestoppers - anti-crime initiative involving the police, media and the community. Members of the public can provide anonymous information about serious crimes, investigations and missing people, 7 days per week 8am - 10pm, tel. 1800 333 000
Community initiatives - Police Band, tel. 8207 4106; Blue Light Programs and Police Rangers, tel. 8204 2234; Children's Road Safety School, tel. 8207 4115; Watch SA, tel. 8204 2205
Home Assist Scheme - home safety and security assessment, information and advice for frail aged and people with a disability and their carers, tel. 8204 2817
Police Liaison Officers - trained officers work with multicultural communities, indigenous communities and the gay and lesbian (GLBTI) communities. Aboriginal and Multicultural Liaison Officers can be contacted through local police stations. Gay and Lesbian Liaison Officers are located at police stations metropolitan and country areas
Victim Liaison Officers provide information about support and counselling services for crime victims and their families - contact local police stations",,www.police.sa.gov.au
148,Community,SA State Emergency Service,-34.925684,138.597321,"Level 8, 60 Waymouth St, Adelaide, South Australia","Emergency and disaster response - severe weather response; road crash rescue; marine rescue; land search and rescue; vertical rescue; air search observing; urban search and rescue; dog operations unit; bike search and rescue; mounted team
Emergency management planning
Volunteer recruitment and training",08 8463 4171,www.ses.sa.gov.au
149,Community,Commonwealth Ombudsman,-34.9223603,138.5997031,"Level 4, 22 King William Street, Adelaide, South Australia","Deals with complaints of individuals who have been unable to resolve problems with Australian, ACT and Norfolk Island departments, bodies and agencies
Deals with complaints from, or on behalf of, overseas students who have been unable to resolve problems with private education providers and individuals who have been unable to resolve problems with certain postal providers
The Ombudsman is independent and impartial with recommendation powers if complaints are found to be justified
All information treated with privacy and respect",1300 362 072,www.ombudsman.gov.au
150,Community,Equal Opportunity Commission of SA,-34.924179,138.598462,"Level 10, 30 Currie St, Adelaide, South Australia","Information on equal opportunity
Examines and responds to complaints of discrimination, harassment and victimisation
Education and training to encourage compliance with the legislation",,www.eoc.sa.gov.au
151,Community,"Housewives Association Inc., SA Division",-34.9307568,138.5967538,"10-12 Compton St, Adelaide, South Australia","Consumer protection information dissemination
Recreation - including tours, social afternoons
Recreation for older people",,
152,Community,Office of the Police Ombudsman,-34.9241167,138.6016941,"5th Floor, East Wing, 50 Grenfell St, Adelaide, South Australia","Receives complaints about the conduct of police officers and maintains a register of complaints
Oversees complaint investigations conducted by SAPOL, investigates certain complaints and assesses the merits of complaints
Resolves complaints by conciliation where possible
Recommends disciplinary or other action
Reports to Parliament on the handling of complaints about police",08 8226 8677,sa.gov.au/pca
153,Community,Ombudsman SA,-34.9241167,138.6016941,"50 Grenfell St, Adelaide, South Australia","Conducts external reviews of determinations made by agencies under the Freedom of Information Act. May also review fees and charges levied by agencies for access to documents under Freedom of Information legislation
Investigates complaints against administrative actions of state government departments, statutory authorities and local councils",08 8226 8699,www.ombudsman.sa.gov.au
154,Community,Professional & Continuing Education,-34.9241241,138.603963,"Level 9 & 11, 115 Grenfell St, Adelaide, South Australia","Language and culture courses - from beginners to advanced
English Language Centre - offers a range of English language, cultural programs and English teacher training
Professional and personal development short courses
Tailored training programs for organisations
Year 12 vacation revision and study skills courses",8313 4777,www.adelaide.edu.au/pce
