OBJECTID,RECNO,NAME,F_CODE,OTHERDETLS,SOURCE,CLASS,COUNTY,LATITUDE,LONGITUDE,STATE,NAMEDBY,DATENAMED,DERIVATION,ORIGCODE,CURNAME,PREVNAME,ALTNAME,ELEVATION,PUBLIC_REL
21598,SA0030068,Henton Park,HMSD,,1:50 000 Mapsheet-2nd Edition /,LOCL,Adelaide,-34.77575825,139.02689764,SA,,,,****,,,,,Y
21601,SA0030174,Heywood Park,RESV,"Though a very important recreational reserve this item is of heritage significance primarily because of its associations with the neighbouring Heywood, and because of the manner in which it reflects something of the earlier open nature of the area before","1:10 000 Mapsheet / City of Unley Heritage Review 1985, Pgs 25, 138 /",LOCL,Adelaide,-34.96276506,138.59967426,SA,,,,****,,,Haywood Park,,Y
21603,SA0053619,Mill Tower Trig,TRIG,,1 Inch to 1 Mile Mapsheet /,RECD,Adelaide,-35.04774716,138.83239559,SA,,,,DE**,,,,,Y
21604,SA0054081,Princess Margaret Playground,RESV,"Canterbury Terrace, Black Forest.","City of Unley Heritage Review 1985 - pages 12, 188",LOCL,Adelaide,-34.96415479,138.57691397,SA,,,,****,,,,,Y
21605,SA0053852,Kyre College / House,BLDG,"72 Clifton Street, Malvern","City of Unley Heritage Review 1985 - pages 22, 85",RECD,Adelaide,-34.95685518,138.60759445,SA,,,,****,,,,,Y
21606,SA0053695,Woodspring,BLDG,"35 Grove Street, Unley Park","City of Unley Heritage Review 1985 - pages 11, 56",RECD,Adelaide,-34.96606506,138.60141422,SA,,,,****,,,,,Y
21610,SA0052649,Osborne North,SUBD,Private subdivision,,RECH,Adelaide,-34.78774502,138.501516,SA,,,,****,Outer Harbor (portion),,,,Y
21611,SA0064346,St John Wood Gardens,RESV,,1:10 000 Mapsheet /,LOCL,Adelaide,-34.88514555,138.60096556,SA,,,,****,,,,,Y
21612,SA0001006,Almanda Hill,HILL,,SD.11336 / Government Gazette 10/11/1994 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-35.07385507,138.66084313,SA,,,,****,,,,375 m,Y
21613,SA0020835,Dry Creek Power Station,FTRY,,1:10 000 Mapsheet /,LOCL,Adelaide,-34.84914552,138.5796559,SA,,,,****,,,,,Y
21623,SA0019346,Horse Gully,GLLY,,1:50 000 Mapsheet - 2nd Edition / 1:10 000 Mapsheet /,VART,Adelaide,-34.74684992,138.91806156,SA,,,,****,,,Dead Horse Gully,,Y
20950,SA0038226,Cairn,HMSD,,1:50 000 Mapsheet-4th Edition /,LOCL,Adelaide,-35.1803852,138.73028217,SA,,,,****,,,,,Y
20951,SA0064853,Strathmont Primary School,SCHL,School opened in 1964. Proposal to change name to Wandana Primary School not approved by Geographical Names Board on 25/9/1984.  However it appears that the name change was made in spite of not being approved.,Geographical Names Board Minutes 25/9/1984 / DL.1229/1984 / 1:10 000 Mapsheet / SA Lands Department Property Register Printout 1988 /,RECH,Adelaide,-34.85007642,138.65974683,SA,,,,****,Wandana Primary School,,,,Y
20952,SA0018447,Ferndale,HMSD,,1:50 000 Mapsheet - 1st Edition /,LOCH,Adelaide,-34.85552856,138.85421903,SA,,,,****,Nimwary (Homestead),,,,Y
20953,SA0032116,Wharf No 9,PIER,,1:2 500 MFP Gillman Site Map / 1:10 000 Mapsheet /,RECD,Adelaide,-34.84235475,138.50715517,SA,,,,****,,,,,Y
20954,SA0018747,Minnamurra,HMSD,,1:50 000 Mapsheet - 2nd Edition /,LOCL,Adelaide,-34.96056732,138.79945664,SA,,,,****,,,,,Y
21204,SA0058371,Regency Golf Course,RESV,,1:50 000 Mapsheet - 2nd Edition /,VART,Adelaide,-34.86599528,138.56678547,SA,,,,****,,,Regency Park Golf Course,,Y
21208,SA0052758,Oval Hill,HILL,,1 Mile to 1 Inch Mapsheet / 1:50 000 Mapsheet / SD.6654 / Government Gazette 27/6/1985 / 1:50 000 Mapsheet - 3rd Edition /,GEOG,Adelaide,-34.94620669,138.73616614,SA,,,,****,,,,,Y
21630,SA0016528,Pasadena High School,SCHL,School rename approved by Surveyor General on 21/2/2001.,DEHAA.04/0059 /,RECD,Adelaide,-34.99461475,138.58930361,SA,Minister for Education,,Located in the suburb of Pasadena,PLSA,,Daws Road High School,,,Y
21637,SA0004267,Salisbury North West Primary School,SCHL,School located in the western portion of the suburb of Salisbury North.  Now includes the Infant and Primary Schools.  School to close at end of 2010 and will merge with Direk Primary and Junior Primary Schools as the new Lake Windemere CPC-7 located on,1:10 000 Mapsheet / DTEI.2009/30524/01 /,RECH,Adelaide,-34.74770659,138.62002805,SA,,,See other Details,DELO,Lake Windemere CPC-7,Salisbury North West Infant School,,,Y
21733,SA0016471,Walkerville Estate,SUBD,Private subdivision,,RECH,Adelaide,-34.89073573,138.62010569,SA,,,,****,Walkerville (portion),,,,Y
21738,SA0016479,Walkerville Post Office,BLDG,Location is approximate only to the centre of the suburb.,,RECH,Adelaide,-34.89345566,138.6159156,SA,,,,PLSA,,,,,Y
20969,SA0014299,Pirie Street Tram Stop,RSTA,,Adelaide Metro Timetable / DTEI.2011/16556/01 /,RECD,Adelaide,-34.92690563,138.59834235,SA,,,Adjacent road name,PLSA,,,,,Y
21647,SA0042043,North Ingle Primary School,SCHL,School opened in 1973.  The Surveyor-General approved the alteration of the school name to North Ingle School on 7 August 2008.  Name change will become effective from 13/10/2008.,1:10 000 Mapsheet / SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 / SA Lands Department Property Register Printout 1988 / DTEI.22-413/07/0036 /,RECH,Adelaide,-34.82057642,138.64412713,SA,Minister of Education,,,DE**,North Ingle School,,Ingle North Primary School,,Y
21649,SA0047087,Donoughmon,HMSD,,1:50 000 Mapsheet-2nd Edition /,VART,Adelaide,-34.66426139,139.00669396,SA,,,,****,,,Donoughmore (Homestead),,Y
21761,SA0014137,Wandeahra,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet-3rd Edition /,LOCL,Adelaide,-34.74396833,138.77386991,SA,,,Abna meaning big trees,ABDE,,,,,Y
21764,SA0013272,Victoria Park Racecourse,RTRK,,1:10 000 Mapsheet / 1 Mile to 1 Inch Mapsheet / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 Mapsheet - 4th Edition /,RECH,Adelaide,-34.93443545,138.61911496,SA,,,,****,,,,,Y
21765,SA0013263,Lazy Acres,HMSD,,1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,LOCL,Adelaide,-34.66087007,138.88588259,SA,,,,****,,,,,Y
21771,SA0007389,Barr Smith Library,BLDG,"University of Adelaide, off North Terrace, Adelaide",General Principles of Development Control - Pg  190,RECD,Adelaide,-34.92033536,138.603315,SA,,,,****,,,,,Y
21232,SA0053620,Moana Railway Station,RSTA,,1 Inch to 1 Mile Mapsheet /,RECH,Adelaide,-35.19205235,138.48459908,SA,,,,PLSA,,,,,Y
21233,SA0053787,RSL Hall-Methodist Church,BLDG,"29 Arthur Street, Unley.","City of Unley Heritage Review 1985 - pages 22, 75",RECD,Adelaide,-34.95205516,138.60271447,SA,,,,****,,,,,Y
21235,SA0053612,Happy Valley Railway Station,RSTA,,1 Inch to 1 Mile Mapsheet /,RECH,Adelaide,-35.0814037,138.54395163,SA,,,,PLSA,,,,,Y
21236,SA0054037,Milton Hall,BLDG,"Masonic Lodge situated at 1 Milton Avenue, Fullarton","City of Unley Heritage Plan Review - pages 29, 246",RECD,Adelaide,-34.95524546,138.63081475,SA,,,,****,,,,,Y
21242,SA0015142,Campbell Plantation,RESV,Named by City of Tea Tree Gully on either 14/09/2004 or 30/11/2004.,DAIS.22-413/02/0051 / Government Gazette 9/12/2004 /,LOCL,Adelaide,-34.77260749,138.71371873,SA,City of Tea Tree Gully,,Campbell Court,PLSA,,,,,Y
21657,SA0065672,Tea Tree Plaza,BLDG,,1:10 000 Mapsheet /,RECD,Adelaide,-34.83280686,138.68985746,SA,,,,****,,,,,Y
21658,SA0018662,Lansdowne,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition /,LOCL,Adelaide,-34.80447934,138.89631036,SA,,,,****,,,,,Y
21659,SA0026841,Golding Oval,RESV,,1:10 000 Mapsheet /,LOCL,Adelaide,-34.83394645,138.65401702,SA,,,,****,,,,,Y
21660,SA0009359,Break-Neck Cutting,CTNG,,Mapping Branch Field Check / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 Mapsheet - 4th Edition /,RECD,Adelaide,-34.82124807,138.79157885,SA,,,,****,,,Blyth Cutting,,Y
21668,SA0019246,Fremont High School,SCHL,"School closed.  May also have been known as Fremont Boys High School.  The amalgamation of this school with the following high schools - Elizabeth City High School, Kaurna Plains High School, Elizabeth West High School, Smithfield Plains High School, Fre",1:10 000 Mapsheet / Name information from City of Playford's Local History Officer in November 2006 /,RECH,Adelaide,-34.71194746,138.67935933,SA,,,,****,Fremont-Elizabeth City High School,Elizabeth Park Boys Tech High Schl,,,Y
21670,SA0001237,The Amphitheatre,GLLY,Name approved by Geographical Names Board on 12/9/1977.  A feature of great geological significance.,DL.980/1973 / Government Gazette 19/01/1978 / Geographical Names Board Minutes 12/9/1977 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-35.07778317,138.49496112,SA,,1978/01/19,,****,,,,,Y
21000,SA0014842,Underdale Post Office,BLDG,Location is approximate only to the centre of the suburb,,RECH,Adelaide,-34.92132473,138.54783434,SA,,,,PLSA,,,,,Y
21005,SA0056285,Ponkepurringa,STRM,Name recorded by Captain C Barker 17/4/1831. See Onkapringa River for derivation.,"Captain Collett Barker 17/4/1831 - Sturt's Australia Vol 2, Pg 233 /",VART,Adelaide,-35.16611232,138.46814932,SA,,,See Other Details,AB**,,,Onkaparinga River,,Y
21006,SA0033881,Kangarilla Primary School,SCHL,School opened in 1877.,SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 / SA Lands Department Property Register Printout 1988 /,RECD,Adelaide,-35.14963457,138.65802183,SA,Minister of Education,,,PLSA,,,,,Y
21007,SA0058244,Golden Bough,HMSD,,1:50 000 Mapsheet - 3rd Edition /,LOCL,Adelaide,-34.7610875,138.70869886,SA,,,,****,,,,,Y
21247,SA0004610,Bardini Estate,SUBD,Private subdivision.  Location is approximate only.,?,RECH,Adelaide,-34.90050558,138.61251544,SA,,,,****,Gilberton (portion),,,,Y
21263,SA0030234,High Acres,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition /,LOCL,Adelaide,-34.98765553,138.6554145,SA,,,,****,,,,,Y
21673,SA0043338,Mary McKillop College,SCHL,,1:10 000 Mapsheet /,RECD,Adelaide,-34.92402575,138.64030538,SA,,,Sister Mary McKillop,PRSA,,,,,Y
21674,SA0009216,Brady Gully,GLLY,,SD.11336 / Government Gazette 10/11/1994 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-35.12356545,138.72131301,SA,,,,****,,,,,Y
21677,SA0016485,Walkerville Primary School,SCHL,School opened in 1911.,1:10 000 Mapsheet / SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 / SA Lands Department Property Register Printout 1988 /,RECD,Adelaide,-34.8965956,138.6119355,SA,Minister of Education,,Located in the suburb of Walkerville,PLSA,,,,,Y
21688,SA0063587,Sudara Park,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet-3rd Edition /,LOCL,Adelaide,-34.69228808,138.72414017,SA,,,,****,,,,,Y
21689,SA0017018,Croydon Park Reserve,RESV,,1:10 000 Mapsheet /,LOCL,Adelaide,-34.88112523,138.57097527,SA,,,Suburb of Croydon Park,PLSA,,,,,Y
21690,SA0021541,East Adelaide Primary School,SCHL,School opened in 1886.,1:10 000 Mapsheet / SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 / SA Lands Department Property Register Printout 1988 /,RECD,Adelaide,-34.90713569,138.62563548,SA,Minister of Education,,,****,,,,,Y
21743,SA0000238,Adelaide Childrens Hospital School,SCHL,"School opened in 1969.  Renamed as the Childrens Hospital School, Adelaide following the renaming of the hospital.  Approved by Surveyor-General on 13/3/1996.",DENR.9162/1994 / SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 /,RECH,Adelaide,-34.91309535,138.59855507,SA,Minister of Education,,Hospital in which the school is located,PLSA,"Childrens Hospital School, Adelaide",,,,Y
21757,SA0052160,Oliverhill Winery,FTRY,,1:50 000 Mapsheet-3rd Edition /,RECD,Adelaide,-35.18920293,138.53442971,SA,,,,****,,,,,Y
21758,SA0020587,Dover Park,SUBD,Private subdivision.,?,RECH,Adelaide,-34.98911394,138.51496283,SA,,,,****,Glenelg South (portion),,,,Y
21759,SA0010874,Bunff Ridge,HMSD,,1:50 000 Mapsheet-3rd Edition /,LOCL,Adelaide,-35.0311351,138.6401136,SA,,,,****,,Bunff Lodge (Homestead),,,Y
21268,SA0012317,Carawatha,HMSD,,1:50 000 Mapsheet - 1st Edition /,LOCL,Adelaide,-34.6589399,138.86984243,SA,,,,AB**,,,,,Y
21691,SA0053055,Paltarra,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,LOCL,Adelaide,-35.23203382,138.63633019,SA,,,,****,,,,,Y
21700,SA0021723,Lilliput,HMSD,"Prettygate Farm was renamed by new owners as 'Lilliput' in November 2002, however the 1:50 000 Mapsheet - 3rd Edition had transposed the position of this homestead with the position for 'Lazy K Farm'  - information supplied by Matthew Thredgold, owner of",1:50 000 Mapsheet - 3rd Edition / DAIS.22-413/01/0492 /,LOCL,Adelaide,-34.74572853,138.79318011,SA,,,,****,,Prettygate Farm (Homestead),,,Y
21701,SA0012417,Carinya,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet-3rd Edition /,LOCL,Adelaide,-34.62541813,138.6931509,SA,,,,****,,,,,Y
21034,SA0015024,View Park,HMSD,,1:50 000 Mapsheet - 2nd Edition /,LOCL,Adelaide,-34.72252848,138.77567028,SA,,,,****,,,,,Y
21285,SA0009969,Brown Hill Creek,SUB,"Portion excluded and added to Urrbrae, portion excluded and added to Springfield and portion of Mitcham added in February 2003.  Portion of Brown Hill Creek excluded and added to Belair on 11 September 2008 at the request of the land owner to have the pr",Government Gazette 6/6/1991 / DL.1190/1988 / Government Gazette 20/02/2003 / DAIS.04/0322 / DAIS.04/0171 / Government Gazette 27/03/2003 / DTEI.22-413/08/0026 / Government Gazette 11/9/2008 /,GEOG,Adelaide,-34.98496548,138.64940447,SA,Geographical Names Board,1991/06/06,Brown Hill Creek (strm),PLSA,,,,,Y
21286,SA0017012,Port Adelaide Primary School,SCHL,School opened in 1876.,1:10 000 Mapsheet / SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 /,RECD,Adelaide,-34.85311471,138.50915501,SA,Minister of Education,,Located in the suburb of Port Adelaide,PLSA,,,,,Y
21287,SA0046410,Sunnyside,SUBD,"Name originally proposed by the City of Burnside as a suburb name, but subsequently incorporated in Beaumont and Glen Osmond.","Deposited Plans 2908, 3340, 3577 & 3863 / DL.1101/1939 /",RECH,Adelaide,-34.95522574,138.65634505,SA,,,,****,See Other Details,,,,Y
21289,SA0048322,Victoria Bridge,BRDG,,1:10 000 Mapsheet / 1:50 000 Mapsheet - 4th Edition /,RECD,Adelaide,-34.92069523,138.59174486,SA,,,,****,,,,,Y
21295,SA0037095,Kobandilla,SUBD,"Name altered from Heidleberg by Nomenclature Committee during the move to alter ""names of enemy origin"".",Parliamentary Paper 66/1916  Pg 2 / Government Gazette 10/1/1918 / L&S.238/1918 / SGO.5894/1916 /  PR.122/1916 / LTO.1147 / DR.20/1918 / DL.1166/1983 /,RECH,Adelaide,-34.88087598,138.63712605,SA,South Australian Government,1918/01/10,A district of the Kaurna Tribe,AB**,Klemzig (portion),Heidelberg,,,Y
21709,SA0014121,Amisfield Plantation,RESV,Named by City of Tea Tree Gully on either 14/09/2004 or 30/11/2004.,DAIS.22-413/02/0051 / Government Gazette 9/12/2004 /,LOCL,Adelaide,-34.77128742,138.70702868,SA,City of Tea Tree Gully,,,****,,,,,Y
21716,SA0016800,Wattle Avenue Reserve,RESV,"Declared as Wattle Avenue Reserve, public reserve in 1996.",DENR.9138/1994 / Government Gazette 7/11/1996 /,LOCL,Adelaide,-35.01157377,138.51164242,SA,City of Brighton,1996/10/28,,****,,,,,Y
21717,SA0048743,Nara,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition /,LOCL,Adelaide,-34.99403634,138.73045528,SA,,,,****,,,,,Y
21724,SA0003591,Avenue Park,SUBD,Location approximate to centre of relevant suburb.  Name formally submitted to be considered as a suburb name by City of Mitcham at council meeting held in 1945 to help eliminate superfluous subdivisions names as requested by surveyor-general.  Proposed,DL.5932/1945 /,RECH,Adelaide,-34.97408473,138.5764138,SA,,,,****,Cumberland Park (portion),,Clarence Gardens,,Y
20779,SA0018142,Davoren Park,SUB,Formerly all of the suburb of Elizabeth Field and portion of Elizabeth West.  Portion excluded and add to Smithfield in May 2004.,Government Gazette 11/11/1993 / DL.1239/1992 / Government Gazette 6/5/2004 / DAIS.22-413/04/0004 / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-34.69297743,138.66660949,SA,City of Munno Para,1993/11/11,"Davoren Family, early Pioneers of area",PRSA,,See Other Details,,,Y
21059,SA0016013,Copanapra,HMSD,,1:50 000 Mapsheet - 1st Edition /,LOCL,Adelaide,-34.69488589,138.52907785,SA,,,,****,,,,,Y
21062,SA0014486,Wantadilla,HMSD,,1:50 000 Mapsheet - 3rd Edition / 1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-35.14028591,138.77166333,SA,,,,****,,,,,Y
21313,SA0007017,Burma Stud,HMSD,,1:50 000 Mapsheet-3rd Edition /,LOCL,Adelaide,-35.30542349,138.6482191,SA,,,,****,,Yundara Farm (Homestead),,,Y
20798,SA0052238,One Tree Hill School,SCHL,Name change approved by the Nomenclature Committee in 1946.,History Book Volume 36 Folio 16 /,RECH,Adelaide,-34.70056847,138.7632105,SA,,,,****,Uleybury School Museum,Uleybury School,,,Y
20807,SA0013176,Challa Gardens,SUBD,Private subdivision.  Name approved by Woodville Council on 1/7/192.,L&S.4560/1927 /,RECH,Adelaide,-34.87594505,138.55206514,SA,,,Abna meaning good soil,ABDE,Kilkenny (portion),Yatala Blocks,,,Y
20808,SA0026244,Gleeville,?,"Name as shown as an abuttal on GRO Plan 87/1856, possible a homestead name located in the Beaumont area.",History Books Volume 13 folios 46 & 88 /,RECH,Adelaide,-34.95149572,138.65198506,SA,,,,****,,,,,Y
20811,SA0053747,Centennial Hall,BLDG,"Goodwood Road, Wayville.","City of Unley Heritage Review - pages 20, 49 / DTEI Points of Interest Database /",RECD,Adelaide,-34.94620501,138.58609437,SA,,,,****,,,,,Y
21069,SA0045383,Mitcham West,SUBD,"Private subdivision of pt sec. 247,248.  Now included in sububrs of Mitcham and Torrens Park.",,RECH,Adelaide,-34.98542512,138.61697408,SA,,,,****,,,,,Y
21070,SA0003558,Austral Brindisi,SUBD,"Private subdivision of sections 737/9, 752/3 & 756.  Now in Osborne and Taperoo.",?,RECH,Adelaide,-34.80241482,138.49140564,SA,,,,****,See Other Details,,,,Y
21463,SA0015366,Vista,SUB,"Originally a private subdivision of Section 5627. Boundaries established in 1959 by agreement between DC Tea Tree Gully, Postmaster General and the Nomenclature Committee.  Proposal by Postmaster General in 1962 to alter the boundaries not proceeded with",DL.4283/1959 / 1:50 000 Mapsheet / 1:10 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition / Parliamentary Plan 336 /,GEOG,Adelaide,-34.83656727,138.72903786,SA,,,,****,,,,,Y
20818,SA0054035,Mawson House Restaurant,BLDG,"51 King William Road, Unley.","City of Unley Heritage Review - pages 29, 236",RECD,Adelaide,-34.94692514,138.59839451,SA,,,,****,,,,,Y
20819,SA0053638,Tintara Winery,FTRY,,1 Inch to 1 Mile Mapsheet /,RECH,Adelaide,-35.21416278,138.5351493,SA,,,,****,Hardys Tintara Winery,,,,Y
20820,SA0053783,Bella Vista,BLDG,"13 Wooldridge Avenue, Millswood.","City of Unley Heritage Review 1985 pages 21, 68",RECD,Adelaide,-34.95782503,138.59445428,SA,,,,****,,,,,Y
21087,SA0015030,Viewbank,SUBD,Private subdivision of sections 265/6 & 271.  Location is approximate only.,,RECH,Adelaide,-34.95365547,138.63128478,SA,,,,****,Fullarton (portion),,,,Y
21093,SA0036563,Kilkenny Post Office,BLDG,Closed.  Location is approximate only to the centre of the suburb.,DL.6/1979 /,RECH,Adelaide,-34.88276502,138.55262503,SA,,,,****,,Kilkenny North Post Office,,,Y
21334,SA0014703,Goodwood Road Tram Stop,RSTA,,Adelaide Metro Timetable / DTEI.2011/16556/01 /,RECD,Adelaide,-34.95128514,138.58795687,SA,,,Adjacent road name,PLSA,,,,,Y
21339,SA0015132,Vimy Ridge Trig,TRIG,,SD.6654 / Government Gazette 7/4/1988 / 1 Inch to 1 Mile Mapsheet / 1:100 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 Mapsheet - 4th Edition /,GEOG,Adelaide,-35.0197367,138.77623539,SA,South Australian Government,1918/01/10,Vimy Ridge,PLSA,,,,,Y
21472,SA0054547,Perry Barr,HMSD,,1:50 000 Mapsheet-3rd Edition /,LOCL,Adelaide,-35.07337346,138.51775146,SA,,,,****,,,,,Y
21473,SA0021280,Eagles Nest Cliffs,CLIF,Name approved by Geographical Names Advisory Committee for mapping purposes only in 1993.  Position approximate.,Geographical Names Advisory Committee Minutes 9/2/1993 / DL.1097/1991 /,RECD,Adelaide,-34.90937662,138.71017644,SA,,,,****,,,,,Y
21479,SA0053946,Unley Park Bowling Club,BLDG,"8 Northgate Street, Unley Park","City of Unley Heritage Review 1985 - page  25, 137",RECD,Adelaide,-34.96128513,138.60528435,SA,,,,****,,,,,Y
21480,SA0053964,Manthorpe Memorial Congregational Church,BLDG,"Unley Road, Unley.  Location is approximate only.","City of Unley Heritage Review 1985 - pages 25, 157",RECD,Adelaide,-34.95331519,138.60639449,SA,,,,****,,,,,Y
20842,SA0014838,Eucacia Ridge,HMSD,,?,LOCL,Adelaide,-35.20863317,138.56651976,SA,,,,****,,,,,Y
21097,SA0014841,Underdale,SUB,"Originally a private subdivision of Section 94 laid out and named by John Symonds Williams in the early 1850's.  Name adopted as a suburb name in 1944 following consensus between DC West Torrens, Nomenclature Committee and other government agencies.  Por","DL.2876/1943 / 1:10 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 Mapsheet - 4th Edition / Parliamentary Plan 336 / Rodney Cockburn's ""What's in a name? Nomenclature of South Australian"" /",GEOG,Adelaide,-34.92119473,138.54779434,SA,J S Williams,,,****,,See Other Details,,,Y
21481,SA0053857,Glenavalin,BLDG,"242 Cross Road, Kings Park.","City of Unley Heritage Review 1985 - pages 22, 91",RECD,Adelaide,-34.96721497,138.59389412,SA,,,,****,,,,,Y
21482,SA0053887,Fountain Inn,BLDG,"142 Glen Osmond Road, Parkside.","City of Unley Heritage Review 1985 - pages 23, 112 / DTEI Points of Interest Database /",RECD,Adelaide,-34.94757541,138.62290478,SA,,,,****,,,,,Y
21483,SA0053748,Eringa,BLDG,"76 Northgate Street, Unley Park","City of Unley Heritage Review 1985 - page  21, 60",RECD,Adelaide,-34.96133496,138.59046417,SA,,,,****,,,,,Y
21484,SA0053631,Seaview,?,,1 Inch to 1 Mile Mapsheet /,RECD,Adelaide,-35.17182315,138.54483013,SA,,,,****,,,,,Y
21487,SA0016718,Crafers Springs,SUBD,Private subdivision,,RECH,Adelaide,-35.00598592,138.69986472,SA,,,,****,Crafers (portion),,,,Y
20850,SA0058147,Red Gum Flat,FLAT,,1:50 000 Mapsheet / 1:10 000 Mapsheet / DENR.220/1995 / Government Gazette 9/7/1998 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-34.71074955,138.86540153,SA,,,,****,,,,,Y
20853,SA0009483,The Brides Rest,RDGE,,1:50 000 Mapsheet / SD.6654 / Government Gazette 29/08/1985 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-34.68079885,138.7874011,SA,,,,****,,,,,Y
20854,SA0015477,Vixen Gully,GLLY,Possessive 's' deleted.,Withdrawn Public Maps / Survey Diagram Book / 1 Mile to 1 Inch Mapsheet / 1:50 000 Mapsheet / 1:10 000 Mapsheet / SD.6654 / Government Gazette 29/08/1985 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-34.72106924,138.84364111,SA,,,,****,,Vixen's Gully,,,Y
20859,SA0063686,Summertown,LOCB,Named in 1870.  Originally a private subdivision of Section 8A.  Boundaries created in October 2001 for the long established name.  Following requests from residents in 2003 a review of the locality boundaries around Ashton / Horsnell Gully took place.,1 Mile to 1 Inch Mapsheet / 1:50 000 Mapsheet / 1:10 000 Mapsheet  / Government Gazette 25/10/2001 / DAIS.04/0149 / DAIS.22-413/03/0019 / Government Gazette 26/4/2007 / SD.6654 / Government Gazette 27/6/1985 / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 M,GEOG,Adelaide,-34.96093653,138.72954581,SA,T B Percival,,Descriptive,DE**,,,,,Y
21124,SA0026824,Golden Grove Heights,SUB,Name change not approved by Geog Names Board in 1989.,Geographical Names Board Minutes 4/12/1989 / DL.1220/1989 /,UNAP,Adelaide,-34.76693752,138.71381883,SA,,,,DELO,Greenwith,,,,Y
21126,SA0027845,Greater Levels,SUB,Name not approved by Geographical Names Board.  No extent established.,DL.1377/1989 /,UNAP,Adelaide,-34.80459609,138.60596695,SA,Hassell Planning,,Descriptive Term,DE**,The Levels (portion),,,,Y
21373,SA0062204,Smithfield Plains Primary School,SCHL,School opened in 1955.  School to close 11 April 2011 and move to the new campus of the Mark Oliphant College (B-12) to be built at Munno Para West.  Originally approved as Sir Mark Oliphant College but the honorific was removed upon request from DECS.,1:10 000 Mapsheet / SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 / SA Lands Department Property Register Printout 1988 / DTEI.22-413/07/0036 /,RECD,Adelaide,-34.67707766,138.67839989,SA,Minister of Education,,Smithfield Plains (suburb),PLSA,,,,,Y
21505,SA0014781,Umeracha,?,Recorded on the glossary card as the native name for Gumeracha.,Glossory Card /,VART,Adelaide,-34.82705906,138.88323984,SA,,,,AB**,,,Gumeracha,,Y
21516,SA0019154,Wongabeena,HMSD,,1:50 000 Mapsheet - 1st Edition /,LOCL,Adelaide,-34.97403672,138.75337588,SA,,,,****,,,,,Y
20864,SA0018436,Erinka,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.98358815,138.88594729,SA,,,,****,,,,,Y
21133,SA0053640,Tolleys Distillery,FTRY,,1 Inch to 1 Mile Mapsheet /,RECH,Adelaide,-35.09454386,138.56485166,SA,,,,****,Glenloth Winery,,,,Y
21134,SA0053997,Longer Crendon,BLDG,"174 Cross Road, Malvern.","City of Unley heritage Review 1985 - pages 27, 198",RECD,Adelaide,-34.96641516,138.61080433,SA,,,,****,,,,,Y
21135,SA0053899,Meaghey House,BLDG,"163A-164 Greenhill Road, Parkside.","City of Unley Heritage Review 1985 - pages 24, 122",RECD,Adelaide,-34.94270529,138.60960471,SA,,,,****,,,,,Y
